,date,date_utc,open,high,low,close,volume
136,03-01-2023,1677686400,146.47,146.47,145.41,145.56,2088941
137,03-01-2023,1677687300,145.55,146.09,145.49,145.95,2529770
138,03-01-2023,1677688200,145.96,146.24,145.74,146.06,965317
139,03-01-2023,1677689100,146.07,146.63,146.05,146.45,1759214
140,03-01-2023,1677690000,146.46,146.88,146.32,146.61,1204126
141,03-01-2023,1677690900,146.61,146.68,146.41,146.42,872308
142,03-01-2023,1677691800,146.43,146.61,146.36,146.51,842928
143,03-01-2023,1677692700,146.51,146.6,146.31,146.38,773490
144,03-01-2023,1677693600,146.38,146.4,146.09,146.18,796567
145,03-01-2023,1677694500,146.19,146.28,145.95,145.97,870976
146,03-01-2023,1677695400,145.97,146.01,145.72,145.91,959300
147,03-01-2023,1677696300,145.9,145.92,145.72,145.88,698581
148,03-01-2023,1677697200,145.88,145.93,145.6,145.86,913946
149,03-01-2023,1677698100,145.86,145.86,145.35,145.36,1274171
150,03-01-2023,1677699000,145.37,145.49,145.29,145.43,1181263
151,03-01-2023,1677699900,145.43,145.6,145.26,145.49,1404812
152,03-01-2023,1677700800,145.49,145.69,145.39,145.58,1684640
153,03-01-2023,1677701700,145.59,145.62,145.18,145.23,1669417
154,03-01-2023,1677702600,145.23,145.46,145.01,145.45,2618124
155,03-01-2023,1677703500,145.45,145.68,145.17,145.32,4698860
156,03-02-2023,1677767400,144.38,144.75,144.1,144.35,4363964
157,03-02-2023,1677768300,144.35,144.79,144.03,144.34,2872102
158,03-02-2023,1677769200,144.35,144.71,144.13,144.28,2168803
159,03-02-2023,1677770100,144.26,144.62,143.9,144.55,2028437
160,03-02-2023,1677771000,144.56,144.66,144.18,144.45,1346580
161,03-02-2023,1677771900,144.46,144.65,144.29,144.49,1747717
162,03-02-2023,1677772800,144.49,144.73,144.26,144.27,1084010
163,03-02-2023,1677773700,144.3,144.55,144.13,144.21,1010263
164,03-02-2023,1677774600,144.2,144.25,143.97,144.09,1088615
165,03-02-2023,1677775500,144.08,144.38,144.07,144.35,867869
166,03-02-2023,1677776400,144.35,144.58,144.35,144.57,898431
167,03-02-2023,1677777300,144.57,144.62,144.34,144.36,985541
168,03-02-2023,1677778200,144.36,144.66,144.24,144.28,1299436
169,03-02-2023,1677779100,144.29,144.48,144.22,144.45,779997
170,03-02-2023,1677780000,144.46,144.62,144.37,144.45,829936
171,03-02-2023,1677780900,144.45,144.66,144.28,144.56,779686
172,03-02-2023,1677781800,144.55,145.24,144.54,144.83,1851894
173,03-02-2023,1677782700,144.82,145.56,144.78,145.54,1239639
174,03-02-2023,1677783600,145.55,145.99,145.47,145.51,2049556
175,03-02-2023,1677784500,145.52,145.95,145.39,145.87,1673527
176,03-02-2023,1677785400,145.88,146.05,145.68,145.82,1371573
177,03-02-2023,1677786300,145.82,145.93,145.74,145.85,884823
178,03-02-2023,1677787200,145.84,146.01,145.56,145.99,1436050
179,03-02-2023,1677788100,145.99,146.31,145.94,146.19,1510712
180,03-02-2023,1677789000,146.19,146.71,146.13,146.26,2589187
181,03-02-2023,1677789900,146.25,146.4,145.73,145.92,4303764
182,03-03-2023,1677853800,148.04,148.9,147.33,148.52,7381527
183,03-03-2023,1677854700,148.53,149.48,148.52,149.47,3797121
184,03-03-2023,1677855600,149.47,149.96,149.03,149.92,4005806
185,03-03-2023,1677856500,149.92,150.16,149.52,150.15,3140633
186,03-03-2023,1677857400,150.14,150.17,149.44,149.77,2285624
187,03-03-2023,1677858300,149.78,150.04,149.45,149.64,2101807
188,03-03-2023,1677859200,149.64,149.88,149.45,149.69,1462849
189,03-03-2023,1677860100,149.7,149.94,149.38,149.57,1542066
190,03-03-2023,1677861000,149.57,149.76,149.26,149.41,1621111
191,03-03-2023,1677861900,149.41,149.98,149.37,149.84,1553341
192,03-03-2023,1677862800,149.84,149.96,149.71,149.77,1134951
193,03-03-2023,1677863700,149.78,150.03,149.71,149.91,2353668
194,03-03-2023,1677864600,149.91,149.93,149.6,149.79,1214115
195,03-03-2023,1677865500,149.79,150.24,149.76,150.21,1532195
196,03-03-2023,1677866400,150.23,150.32,150.08,150.19,2466336
197,03-03-2023,1677867300,150.18,150.19,149.88,150.1,1376190
198,03-03-2023,1677868200,150.1,150.18,149.91,150.03,1228032
199,03-03-2023,1677869100,150.03,150.25,150.03,150.23,1155245
200,03-03-2023,1677870000,150.22,150.56,150.1,150.53,1505676
201,03-03-2023,1677870900,150.52,150.81,150.5,150.76,1807347
202,03-03-2023,1677871800,150.76,150.89,150.62,150.78,1469656
203,03-03-2023,1677872700,150.78,150.84,150.64,150.83,1159233
204,03-03-2023,1677873600,150.84,150.93,150.7,150.84,1899996
205,03-03-2023,1677874500,150.84,150.97,150.65,150.92,1698630
206,03-03-2023,1677875400,150.91,150.95,150.76,150.9,2142849
207,03-03-2023,1677876300,150.9,151.11,150.53,151.1,5304773
208,03-06-2023,1678113000,153.79,155.03,153.46,154.65,11318409
209,03-06-2023,1678113900,154.66,154.9,153.46,154.43,5197471
210,03-06-2023,1678114800,154.41,154.89,154.14,154.84,4386278
211,03-06-2023,1678115700,154.83,155.25,154.66,155.03,3274000
212,03-06-2023,1678116600,155.03,155.53,154.76,155.45,3594663
213,03-06-2023,1678117500,155.45,155.58,155.12,155.15,4315058
214,03-06-2023,1678118400,155.15,155.89,155.15,155.86,3027351
215,03-06-2023,1678119300,155.88,156.07,155.37,155.4,3508174
216,03-06-2023,1678120200,155.4,155.8,155.31,155.8,2201328
217,03-06-2023,1678121100,155.79,155.88,155.45,155.74,1798995
218,03-06-2023,1678122000,155.74,156.12,155.68,156.11,2729500
219,03-06-2023,1678122900,156.11,156.3,155.84,155.9,2387697
220,03-06-2023,1678123800,155.9,155.9,155.5,155.5,1995413
221,03-06-2023,1678124700,155.5,155.51,154.96,155.06,2786553
222,03-06-2023,1678125600,155.06,155.19,154.84,155.15,2038465
223,03-06-2023,1678126500,155.15,155.45,154.99,155.11,2184340
224,03-06-2023,1678127400,155.1,155.18,154.67,154.98,1936041
225,03-06-2023,1678128300,154.97,154.98,154.5,154.55,1782601
226,03-06-2023,1678129200,154.55,154.63,154.23,154.42,2546882
227,03-06-2023,1678130100,154.42,154.43,154.01,154.27,1941959
228,03-06-2023,1678131000,154.26,154.5,154.12,154.5,2027054
229,03-06-2023,1678131900,154.49,154.49,153.96,154.12,1998054
230,03-06-2023,1678132800,154.12,154.3,153.88,154.04,2196360
231,03-06-2023,1678133700,154.04,154.09,153.8,153.94,1851597
232,03-06-2023,1678134600,153.95,154.15,153.82,154.1,2208492
233,03-06-2023,1678135500,154.1,154.19,153.7,153.87,4249766
234,03-07-2023,1678199400,153.7,154.03,153.15,153.6,4800270
235,03-07-2023,1678200300,153.6,153.93,153.45,153.85,1950449
236,03-07-2023,1678201200,153.85,153.86,151.78,152.2,4583782
237,03-07-2023,1678202100,152.21,152.76,151.85,152.45,2522336
238,03-07-2023,1678203000,152.45,153.63,152.32,152.72,2717954
239,03-07-2023,1678203900,152.71,153.15,152.08,152.19,2280656
240,03-07-2023,1678204800,152.21,152.67,152.1,152.22,1696721
241,03-07-2023,1678205700,152.21,152.54,152.08,152.26,1453307
242,03-07-2023,1678206600,152.25,152.77,152.1,152.76,1432075
243,03-07-2023,1678207500,152.76,152.76,151.97,152.07,1741478
244,03-07-2023,1678208400,152.06,152.33,151.8,152.17,2430527
245,03-07-2023,1678209300,152.17,153.09,152.12,152.65,1890007
246,03-07-2023,1678210200,152.65,152.73,152.36,152.46,1061773
247,03-07-2023,1678211100,152.48,152.73,152.34,152.43,1217236
248,03-07-2023,1678212000,152.42,152.5,152.1,152.25,1164117
249,03-07-2023,1678212900,152.25,152.54,152.19,152.49,1058983
250,03-07-2023,1678213800,152.48,152.69,152.0,152.05,1378924
251,03-07-2023,1678214700,152.04,152.09,151.74,151.83,1414123
252,03-07-2023,1678215600,151.82,152.04,151.74,151.9,1192211
253,03-07-2023,1678216500,151.89,152.0,151.46,151.5,1397756
254,03-07-2023,1678217400,151.49,151.66,151.31,151.35,1227642
255,03-07-2023,1678218300,151.34,151.52,151.14,151.18,1298416
256,03-07-2023,1678219200,151.18,151.44,151.13,151.18,1296705
257,03-07-2023,1678220100,151.19,151.4,151.15,151.19,1262400
258,03-07-2023,1678221000,151.18,151.63,151.16,151.5,1706206
259,03-07-2023,1678221900,151.49,151.77,151.39,151.58,3711511
260,03-08-2023,1678285800,152.81,153.1,152.34,152.36,5184108
261,03-08-2023,1678286700,152.37,152.86,152.3,152.65,2108453
262,03-08-2023,1678287600,152.66,152.92,151.83,152.68,3050740
263,03-08-2023,1678288500,152.69,153.04,152.18,152.64,2307234
264,03-08-2023,1678289400,152.64,153.21,152.52,152.87,1957206
265,03-08-2023,1678290300,152.83,152.84,152.33,152.61,1484304
266,03-08-2023,1678291200,152.6,153.02,152.5,152.85,1403583
267,03-08-2023,1678292100,152.84,152.93,152.5,152.59,1048981
268,03-08-2023,1678293000,152.6,153.06,152.35,152.94,1533129
269,03-08-2023,1678293900,152.93,153.47,152.88,153.34,1566639
270,03-08-2023,1678294800,153.35,153.41,152.72,152.79,1378272
271,03-08-2023,1678295700,152.8,152.95,152.68,152.75,950278
272,03-08-2023,1678296600,152.73,153.05,152.35,153.0,1400420
273,03-08-2023,1678297500,152.99,153.04,152.61,152.83,962972
274,03-08-2023,1678298400,152.84,152.94,152.41,152.57,1229479
275,03-08-2023,1678299300,152.57,152.65,152.25,152.34,937549
276,03-08-2023,1678300200,152.34,152.41,152.06,152.21,933403
277,03-08-2023,1678301100,152.19,152.39,152.05,152.29,1076729
278,03-08-2023,1678302000,152.28,152.65,152.23,152.47,1044353
279,03-08-2023,1678302900,152.46,152.81,152.37,152.8,921542
280,03-08-2023,1678303800,152.79,152.99,152.65,152.72,1091255
281,03-08-2023,1678304700,152.72,152.75,152.49,152.5,930448
282,03-08-2023,1678305600,152.51,152.61,152.14,152.21,1249435
283,03-08-2023,1678306500,152.22,152.32,152.07,152.24,1416818
284,03-08-2023,1678307400,152.25,153.01,152.21,152.94,1713988
285,03-08-2023,1678308300,152.95,153.26,152.7,152.89,3780289
286,03-09-2023,1678372200,153.56,153.94,152.95,153.85,4473501
287,03-09-2023,1678373100,153.84,154.38,153.84,154.29,2524936
288,03-09-2023,1678374000,154.29,154.54,154.12,154.26,2243053
289,03-09-2023,1678374900,154.27,154.27,153.63,153.99,1841617
290,03-09-2023,1678375800,154.0,154.5,153.95,154.45,1738553
291,03-09-2023,1678376700,154.45,154.51,153.87,153.89,1452298
292,03-09-2023,1678377600,153.88,154.32,153.7,154.32,1413920
293,03-09-2023,1678378500,154.31,154.4,154.08,154.1,1236226
294,03-09-2023,1678379400,154.1,154.32,153.99,154.18,918196
295,03-09-2023,1678380300,154.18,154.45,154.06,154.1,1136195
296,03-09-2023,1678381200,154.11,154.15,153.57,153.89,1498109
297,03-09-2023,1678382100,153.89,154.22,153.75,154.13,1038130
298,03-09-2023,1678383000,154.14,154.2,153.6,153.65,1069489
299,03-09-2023,1678383900,153.65,153.72,153.45,153.55,1178580
300,03-09-2023,1678384800,153.56,153.63,153.14,153.26,1375049
301,03-09-2023,1678385700,153.25,153.3,152.52,152.65,1520368
302,03-09-2023,1678386600,152.64,152.64,152.13,152.42,1410857
303,03-09-2023,1678387500,152.41,152.47,151.83,151.95,1651890
304,03-09-2023,1678388400,151.96,152.0,151.51,151.91,1741762
305,03-09-2023,1678389300,151.91,152.12,151.63,151.63,1392026
306,03-09-2023,1678390200,151.63,151.9,151.22,151.68,1575123
307,03-09-2023,1678391100,151.68,151.83,151.22,151.3,1308640
308,03-09-2023,1678392000,151.31,151.41,150.88,151.03,1933818
309,03-09-2023,1678392900,151.04,151.05,150.23,150.43,2278214
310,03-09-2023,1678393800,150.46,150.99,150.28,150.84,2419143
311,03-09-2023,1678394700,150.84,151.18,150.45,150.55,4447574
312,03-10-2023,1678458600,150.21,150.51,149.11,149.19,5865172
313,03-10-2023,1678459500,149.2,149.96,148.89,149.77,3526911
314,03-10-2023,1678460400,149.79,150.49,149.78,149.9,3143035
315,03-10-2023,1678461300,149.9,150.0,149.27,149.45,2266638
316,03-10-2023,1678462200,149.46,150.02,149.31,149.35,1979914
317,03-10-2023,1678463100,149.33,150.52,149.17,150.46,2263914
318,03-10-2023,1678464000,150.44,150.62,149.95,150.0,1879835
319,03-10-2023,1678464900,149.99,150.53,149.77,150.44,2111603
320,03-10-2023,1678465800,150.44,150.94,150.32,150.4,1978266
321,03-10-2023,1678466700,150.42,150.48,149.75,149.85,1726256
322,03-10-2023,1678467600,149.86,150.05,149.04,149.15,1676324
323,03-10-2023,1678468500,149.14,149.43,149.13,149.42,1014535
324,03-10-2023,1678469400,149.42,150.0,149.28,149.66,1582806
325,03-10-2023,1678470300,149.65,149.72,149.03,149.17,1096642
326,03-10-2023,1678471200,149.17,149.4,149.08,149.15,1126998
327,03-10-2023,1678472100,149.13,149.14,148.19,148.4,2348493
328,03-10-2023,1678473000,148.4,148.42,147.87,148.01,1873952
329,03-10-2023,1678473900,147.99,148.26,147.85,148.2,2086372
330,03-10-2023,1678474800,148.2,148.84,148.17,148.45,2289217
331,03-10-2023,1678475700,148.43,148.51,147.84,147.93,1578209
332,03-10-2023,1678476600,147.92,148.76,147.92,148.21,2005532
333,03-10-2023,1678477500,148.22,149.0,148.2,148.65,2210940
334,03-10-2023,1678478400,148.66,148.77,148.1,148.35,2301742
335,03-10-2023,1678479300,148.35,148.64,147.92,148.38,2206597
336,03-10-2023,1678480200,148.38,148.44,147.62,147.71,2505748
337,03-10-2023,1678481100,147.73,148.66,147.61,148.48,5189215
338,03-13-2023,1678714200,147.8,150.1,147.7,148.75,7144831
339,03-13-2023,1678715100,148.75,151.14,148.56,150.74,4770440
340,03-13-2023,1678716000,150.74,151.47,150.27,150.89,4064035
341,03-13-2023,1678716900,150.87,151.26,150.32,150.85,3434785
342,03-13-2023,1678717800,150.87,151.87,150.54,150.99,3695191
343,03-13-2023,1678718700,150.98,151.75,150.19,151.56,3457553
344,03-13-2023,1678719600,151.57,152.55,151.34,152.08,3700600
345,03-13-2023,1678720500,152.09,152.66,151.61,152.56,3180674
346,03-13-2023,1678721400,152.56,152.92,152.26,152.67,2838204
347,03-13-2023,1678722300,152.66,153.14,152.23,152.61,2976952
348,03-13-2023,1678723200,152.61,153.1,152.05,152.48,2653045
349,03-13-2023,1678724100,152.46,152.78,151.98,152.24,2086447
350,03-13-2023,1678725000,152.23,152.58,151.69,152.29,2077171
351,03-13-2023,1678725900,152.29,152.5,151.47,151.8,1888980
352,03-13-2023,1678726800,151.8,151.86,151.05,151.6,1972316
353,03-13-2023,1678727700,151.59,151.9,150.99,151.24,1815836
354,03-13-2023,1678728600,151.23,151.93,150.88,151.79,2109322
355,03-13-2023,1678729500,151.77,152.04,151.53,151.9,1409315
356,03-13-2023,1678730400,151.92,152.37,151.76,152.03,1805005
357,03-13-2023,1678731300,152.04,152.54,151.94,152.23,1953728
358,03-13-2023,1678732200,152.22,152.7,151.89,152.17,2124510
359,03-13-2023,1678733100,152.17,152.25,151.73,152.11,1606169
360,03-13-2023,1678734000,152.11,152.35,151.61,152.14,2033168
361,03-13-2023,1678734900,152.14,152.26,150.82,151.03,2562194
362,03-13-2023,1678735800,151.05,151.62,150.98,151.24,2568767
363,03-13-2023,1678736700,151.25,151.36,150.35,150.46,5015656
