,date,date_utc,open,high,low,close,volume
53,02-24-2023,1677249900,194.5,195.43,193.34,194.52,10528384
54,02-24-2023,1677250800,194.5,195.11,193.51,193.79,6925306
55,02-24-2023,1677251700,193.77,194.5,192.8,194.17,7086740
56,02-24-2023,1677252600,194.17,195.26,193.75,195.12,6150724
57,02-24-2023,1677253500,195.11,195.67,193.85,194.03,5964463
58,02-24-2023,1677254400,194.08,195.35,193.58,194.93,4939395
59,02-24-2023,1677255300,194.92,195.99,194.67,195.42,5333932
60,02-24-2023,1677256200,195.41,196.32,195.18,196.1,5139543
61,02-24-2023,1677257100,196.11,197.67,196.05,197.05,6252423
62,02-24-2023,1677258000,197.05,197.33,196.03,196.69,3830208
63,02-24-2023,1677258900,196.73,196.89,195.37,195.93,3991389
64,02-24-2023,1677259800,195.95,196.42,195.36,195.61,3162190
65,02-24-2023,1677260700,195.57,195.6,194.75,195.01,3441172
66,02-24-2023,1677261600,195.04,195.14,194.0,194.69,3901565
67,02-24-2023,1677262500,194.68,195.86,194.64,195.52,3700441
68,02-24-2023,1677263400,195.54,196.41,195.03,196.04,3924968
69,02-24-2023,1677264300,196.06,196.32,195.39,195.63,2788746
70,02-24-2023,1677265200,195.65,196.65,195.33,195.75,3756802
71,02-24-2023,1677266100,195.76,196.3,195.52,195.73,3375893
72,02-24-2023,1677267000,195.74,195.85,194.79,194.98,3449022
73,02-24-2023,1677267900,194.98,196.94,194.88,196.84,4685065
74,02-24-2023,1677268800,196.85,197.34,196.45,196.74,4786998
75,02-24-2023,1677269700,196.74,197.28,196.09,196.2,4415464
76,02-24-2023,1677270600,196.2,196.49,195.91,196.2,4204929
77,02-24-2023,1677271500,196.19,197.15,195.66,196.86,6230114
78,02-27-2023,1677508200,202.03,205.3,201.26,204.53,19587758
79,02-27-2023,1677509100,204.55,206.03,204.16,205.92,10266207
80,02-27-2023,1677510000,205.91,208.22,205.44,207.34,11319703
81,02-27-2023,1677510900,207.35,207.84,206.67,207.03,7110011
82,02-27-2023,1677511800,207.01,207.43,205.35,206.11,7629743
83,02-27-2023,1677512700,206.12,207.0,204.22,205.24,8030656
84,02-27-2023,1677513600,205.22,205.99,204.84,205.01,5053281
85,02-27-2023,1677514500,205.01,205.58,204.55,205.55,4425514
86,02-27-2023,1677515400,205.54,206.01,204.3,205.05,5319128
87,02-27-2023,1677516300,205.09,206.37,204.95,205.83,4373387
88,02-27-2023,1677517200,205.83,205.99,204.74,205.31,3865784
89,02-27-2023,1677518100,205.34,205.62,204.6,205.34,3260767
90,02-27-2023,1677519000,205.33,205.91,205.2,205.56,2937144
91,02-27-2023,1677519900,205.61,207.12,205.51,206.91,4312307
92,02-27-2023,1677520800,206.91,207.5,206.31,207.28,4409970
93,02-27-2023,1677521700,207.27,207.61,206.93,207.16,3982018
94,02-27-2023,1677522600,207.17,207.5,206.56,206.77,3268898
95,02-27-2023,1677523500,206.78,208.07,206.67,207.99,4316649
96,02-27-2023,1677524400,208.0,209.05,207.97,208.71,6615084
97,02-27-2023,1677525300,208.71,209.42,208.32,209.12,5538792
98,02-27-2023,1677526200,209.13,209.18,207.67,208.17,5257927
99,02-27-2023,1677527100,208.14,208.45,207.24,208.18,4862709
100,02-27-2023,1677528000,208.18,208.45,207.48,208.24,4200445
101,02-27-2023,1677528900,208.22,208.39,207.63,208.07,4207115
102,02-27-2023,1677529800,208.07,208.14,206.35,206.59,5175607
103,02-27-2023,1677530700,206.59,207.84,206.51,207.66,6985839
104,02-28-2023,1677594600,210.59,211.23,208.0,208.59,18827743
105,02-28-2023,1677595500,208.6,209.57,206.43,207.79,10740394
106,02-28-2023,1677596400,207.77,208.43,206.57,206.97,8150638
